Hash Function,Variant,o_file_list,.data size,.bss size,Total Variable Size ,Static Stack Size,Dynamic Stack Size,Total Stack Size,Overall RAM
ORANGE,256,hash.o,"16, 16, 16, 16, 16, 16, 16, 16, 16, 16","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","16, 16, 16, 16, 16, 16, 16, 16, 16, 16","205, 205, 205, 205, 205, 205, 205, 205, 205, 205","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","205, 205, 205, 205, 205, 205, 205, 205, 205, 205","221, 221, 221, 221, 221, 221, 221, 221, 221, 221"
SHAMAS,256,hash.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","400, 400, 400, 400, 400, 400, 400, 400, 400, 400","202, 202, 202, 202, 202, 202, 202, 202, 202, 202","602, 602, 602, 602, 602, 602, 602, 602, 602, 602","602, 602, 602, 602, 602, 602, 602, 602, 602, 602"
SIVRIJNDAEL,256,"rijndael-alg-ref.o, hash.o, rijndael256.o","1160, 1160, 1160, 1160, 1160, 1160, 1160, 1160, 1160, 1160","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1160, 1160, 1160, 1160, 1160, 1160, 1160, 1160, 1160, 1160","257, 257, 257, 257, 257, 257, 257, 257, 257, 257","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","257, 257, 257, 257, 257, 257, 257, 257, 257, 257","1417, 1417, 1417, 1417, 1417, 1417, 1417, 1417, 1417, 1417"
SIVTEMPHOTON,256,"photon.o, hash.o","16, 16, 16, 16, 16, 16, 16, 16, 16, 16","26, 26, 26, 26, 26, 26, 26, 26, 26, 26","42, 42, 42, 42, 42, 42, 42, 42, 42, 42","249, 249, 249, 249, 249, 249, 249, 249, 249, 249","52, 52, 52, 52, 52, 52, 52, 52, 52, 52","301, 301, 301, 301, 301, 301, 301, 301, 301, 301","343, 343, 343, 343, 343, 343, 343, 343, 343, 343"
SKINNY,256,"hash.o, skinny_hash.o, skinny_reference.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","559, 559, 559, 559, 559, 559, 559, 559, 559, 559","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","559, 559, 559, 559, 559, 559, 559, 559, 559, 559","559, 559, 559, 559, 559, 559, 559, 559, 559, 559"
SNEIK,256,"blnk.o, sneik_f512_c99.o, hash.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","345, 345, 345, 345, 345, 345, 345, 345, 345, 345","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","345, 345, 345, 345, 345, 345, 345, 345, 345, 345","345, 345, 345, 345, 345, 345, 345, 345, 345, 345"
TRIAD,256,hash.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","423, 423, 423, 423, 423, 423, 423, 423, 423, 423","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","423, 423, 423, 423, 423, 423, 423, 423, 423, 423","423, 423, 423, 423, 423, 423, 423, 423, 423, 423"
CORAL,256,hash.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","268, 268, 268, 268, 268, 268, 268, 268, 268, 268","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","268, 268, 268, 268, 268, 268, 268, 268, 268, 268","268, 268, 268, 268, 268, 268, 268, 268, 268, 268"
GIMLI,256,gimli_hash.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","128, 128, 128, 128, 128, 128, 128, 128, 128, 128","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","128, 128, 128, 128, 128, 128, 128, 128, 128, 128","128, 128, 128, 128, 128, 128, 128, 128, 128, 128"
DRYGASCON,128,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
DRYGASCON,256,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
CLX,256,hash.o,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","57, 57, 57, 57, 57, 57, 57, 57, 57, 57","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","57, 57, 57, 57, 57, 57, 57, 57, 57, 57","57, 57, 57, 57, 57, 57, 57, 57, 57, 57"
ACE,256,"ace.o, hash.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","112, 112, 112, 112, 112, 112, 112, 112, 112, 112","32, 32, 32, 32, 32, 32, 32, 32, 32, 32","144, 144, 144, 144, 144, 144, 144, 144, 144, 144","144, 144, 144, 144, 144, 144, 144, 144, 144, 144"
SPARKLE,256,"hash.o, sparkle_ref.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","365, 365, 365, 365, 365, 365, 365, 365, 365, 365","31, 31, 31, 31, 31, 31, 31, 31, 31, 31","396, 396, 396, 396, 396, 396, 396, 396, 396, 396","396, 396, 396, 396, 396, 396, 396, 396, 396, 396"
SUBTERRAINEAN,256,"subterranean_ref.o, crypto_hash.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2094, 2094, 2094, 2094, 2094, 2094, 2094, 2094, 2094, 2094","15, 15, 15, 15, 15, 15, 15, 15, 15, 15","2109, 2109, 2109, 2109, 2109, 2109, 2109, 2109, 2109, 2109","2109, 2109, 2109, 2109, 2109, 2109, 2109, 2109, 2109, 2109"
SATURNIN,256,"saturnin.o, hash.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","634, 634, 634, 634, 634, 634, 634, 634, 634, 634","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","634, 634, 634, 634, 634, 634, 634, 634, 634, 634","634, 634, 634, 634, 634, 634, 634, 634, 634, 634"
ISAP,256,"hash.o, Ascon-reference.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","250, 250, 250, 250, 250, 250, 250, 250, 250, 250","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","250, 250, 250, 250, 250, 250, 250, 250, 250, 250","250, 250, 250, 250, 250, 250, 250, 250, 250, 250"
GAGE,256,"hash.o, constants.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","162, 162, 162, 162, 162, 162, 162, 162, 162, 162","15, 15, 15, 15, 15, 15, 15, 15, 15, 15","177, 177, 177, 177, 177, 177, 177, 177, 177, 177","177, 177, 177, 177, 177, 177, 177, 177, 177, 177"
BLAKE3,256,"blake3_portable.o, blake3.o, blake3_dispatch.o","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2984, 2984, 2984, 2984, 2984, 2984, 2984, 2984, 2984, 2984","843, 843, 843, 843, 843, 843, 843, 843, 843, 843","3827, 3827, 3827, 3827, 3827, 3827, 3827, 3827, 3827, 3827","3827, 3827, 3827, 3827, 3827, 3827, 3827, 3827, 3827, 3827"
BLAKE2,256,blake2s-ref.o,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2, 2, 2, 2, 2, 2, 2, 2, 2, 2","645, 645, 645, 645, 645, 645, 645, 645, 645, 645","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","645, 645, 645, 645, 645, 645, 645, 645, 645, 645","647, 647, 647, 647, 647, 647, 647, 647, 647, 647"
