Hash Function,Variant,Power,Energy
SIVRIJNDAEL,256,"0.19943947146334418, 0.19496989972897988, 0.19496989972897988, 0.19496989972897988, 0.19496989972897988, 0.1926546534206681, 0.19240493892372487, 0.19340186237940948, 0.19693273343832896, 0.20111983371698108","350.4483912730063, 342.5946088071058, 342.5946088071058, 342.5946088071058, 342.5946088071058, 338.5263351690173, 338.0875451788052, 339.83930584435234, 346.0436347733837, 353.40106781302194"
SIVTEMPHOTON,256,"0.19943947146334418, 0.19496989972897988, 0.19668845044154604, 0.19240493892372487, 0.21386376608975874, 0.19668845044154604, 0.21076905044785574, 0.19943947146334418, 0.19693273343832896, 0.19814963111615702","1465.7471556079374, 1432.8987830748492, 1445.5289851117354, 1414.048031130095, 1571.7561049156668, 1445.5289851117354, 1549.012008091441, 1465.7471556079374, 1447.324302282759, 1456.2676889496765"
SKINNY,256,"0.19106761645065162, 0.19056370098038727, 0.19790685018228565, 0.1030004733854637, 0.1971767137921904, 0.2093193999565887, 0.20207376713449934, 0.19814963111615702, 0.19439367330601523, 0.213788818210783","84.451886471188, 84.22915583333116, 87.47482778057024, 45.526209236374946, 87.15210749614815, 92.51917478081218, 89.31660507344868, 87.5821369533414, 85.92200360125872, 94.49465764916607"
SNEIK,256,"0.19496989972897988, 0.20662236883641844, 0.20207376713449934, 0.19943947146334418, 0.19693273343832896, 0.20270722877337738, 0.19943947146334418, 0.21122476784572788, 0.19943947146334418, 0.1971767137921904","1070.0273046959298, 1133.9779972357371, 1109.0145129953214, 1094.5570593027435, 1080.7996632317888, 1112.4910560464239, 1094.5570593027435, 1159.2367300653289, 1094.5570593027435, 1082.1386680771727"
TRIAD,256,"0.19496989972897988, 0.19521633323757492, 0.19943947146334418, 0.19943947146334418, 0.19814963111615702, 0.20207376713449934, 0.2005612772581573, 0.19960011544546188, 0.19790685018228565, 0.19943947146334418","1544.8440005025718, 1546.7966164079248, 1580.2586521398075, 1580.2586521398075, 1570.0386021488703, 1601.1314938902053, 1589.1472803550093, 1581.5315147321173, 1568.1149274193403, 1580.2586521398075"
CORAL,256,"0.20207376713449934, 0.20048135644316564, 0.19960011544546188, 0.19943947146334418, 0.2005612772581573, 0.20207376713449934, 0.20816780823703065, 0.19943947146334418, 0.20246991291198532, 0.20223231856503918","397.1086313804803, 393.9792789702277, 392.2474935362402, 391.93180133738184, 394.1363366918222, 397.1086313804803, 409.0844378204714, 391.93180133738184, 397.88712385753655, 397.42021136672946"
GIMLI,256,"0.20111983371698108, 0.21076905044785574, 0.20778252601109196, 0.2041253300581654, 0.20246991291198532, 0.20223231856503918, 0.19943947146334418, 0.19766377105245725, 0.19496989972897988, 0.19636226704886364","983.0737472086035, 1030.239118589119, 1015.6409871422175, 997.7646133243124, 989.6729343137843, 988.5115731459115, 974.8601365128263, 966.1805129044112, 953.0128698752536, 959.8187613348456"
DRYGASCON,128,"0.20207376713449934, 0.21691433393277476, 0.20207376713449934, 0.20662236883641844, 0.20498711805087874, 0.2065447933244533, 0.19693273343832896, 0.19943947146334418, 0.20962542263454972, 0.19943947146334418","1359.8890948928022, 1459.7611625895966, 1359.8890948928022, 1390.4996681461503, 1379.4949754430634, 1389.977610809129, 1325.2916517954743, 1342.161163124485, 1410.709219189641, 1342.161163124485"
DRYGASCON,256,"0.20207376713449934, 0.20246991291198532, 0.19790685018228565, 0.2039682501348956, 0.19496989972897988, 0.20561160424416564, 0.20104013494875675, 0.2039682501348956, 0.19935910092956946, 0.19693273343832896","1019.6979079218727, 1021.6969255393633, 998.6709504948437, 1029.257784889039, 983.8506090157206, 1037.5504236167671, 1014.4820276405846, 1029.257784889039, 1005.9992498074292, 993.7553950520477"
CLX,256,"0.2065447933244533, 0.1996803889719106, 0.1996803889719106, 0.19943947146334418, 0.19207148123996715, 0.19240493892372487, 0.19340186237940948, 0.19496989972897988, 0.19340186237940948, 0.19814963111615702","499.42531025852804, 482.8271805340799, 482.8271805340799, 482.24464199836626, 464.4288416382406, 465.2351423175667, 467.6457032334121, 471.43721754467333, 467.6457032334121, 479.1258080388677"
ACE,256,"0.19693273343832896, 0.19439367330601523, 0.19521633323757492, 0.20246991291198532, 0.19414619558211885, 0.21528281834507706, 0.20048135644316564, 0.19340186237940948, 0.19943947146334418, 0.19790685018228565","1590.6913322258622, 1570.1824971837868, 1576.8273956709716, 1635.416976561076, 1568.183537115301, 1738.9110847126358, 1619.3547431102631, 1562.1713097259499, 1610.9390908332518, 1598.5595978723818"
SPARKLE,256,"0.2005612772581573, 0.20816780823703065, 0.20215305839402894, 0.1996803889719106, 0.21076905044785574, 0.2005612772581573, 0.20662236883641844, 0.20223231856503918, 0.20207376713449934, 0.19943947146334418","709.6192258189035, 736.5324001773206, 715.2512127744734, 706.5024962474482, 745.7360286595882, 709.6192258189035, 731.0643780047212, 715.5316484695361, 714.9706670830477, 705.6500899492222"
SUBTERRAINEAN,256,"0.19106761645065162, 0.20373240316821453, 0.19943947146334418, 0.20816780823703065, 0.19562636589525184, 0.1996803889719106, 0.20246991291198532, 0.19943947146334418, 0.19496989972897988, 0.10253264141352342","1682.828031889114, 1794.3731409040495, 1756.5631449134037, 1833.4379710476474, 1722.9792176224303, 1758.6850258701024, 1783.2537579723105, 1756.5631449134037, 1717.1973918629901, 1790.0562392496074"
SATURNIN,256,"0.2053776444442383, 0.21691433393277476, 0.20801378098084164, 0.20662236883641844, 0.2064671886651952, 0.0985477102825778, 0.20809080886016412, 0.213788818210783, 0.20662236883641844, 0.20662236883641844","1534.7529073243854, 1620.9646650906368, 1554.4523163063325, 1544.0545252530824, 1542.8948896968927, 1557.4306143233235, 1555.0279328105296, 1597.6082070194796, 1544.0545252530824, 1544.0545252530824"
ISAP,256,"0.19790685018228565, 0.19340186237940948, 0.20111983371698108, 0.20111983371698108, 0.20809080886016412, 0.19943947146334418, 0.19790685018228565, 0.20561160424416564, 0.19943947146334418, 0.19814963111615702","1695.039187336246, 1656.454717635912, 1722.5578558136567, 1722.5578558136567, 1782.263096085829, 1708.1658331716321, 1695.039187336246, 1761.029121750571, 1708.1658331716321, 1697.1185655713653"
GAGE,256,"0.19943947146334418, 0.19611727348240854, 0.19340186237940948, 0.19935910092956946, 0.2041253300581654, 0.1996803889719106, 0.19365029133523004, 0.20373240316821453, 0.19488768597886488, 0.19943947146334418","1608.3463777042286, 1581.5550657866365, 1559.6570855150178, 1607.6982429296913, 1646.1347033657319, 1610.2892167991445, 1561.660499424407, 1642.966009949538, 1571.6392622955595, 1608.3463777042286"
BLAKE3,256,"0.2065447933244533, 0.2038896647919152, 0.19935910092956946, 0.20207376713449934, 0.2050652828270468, 0.21099703218075413, 0.20809080886016412, 0.20816780823703065, 0.19790685018228565, 0.2036537268172721","1138.922414523256, 1124.2815932734188, 1099.2993090424677, 1114.2684309408182, 1130.764147055474, 1163.4728016167085, 1147.4474018564215, 1147.871989253693, 1091.2913563801535, 1122.9805919582411"
BLAKE2,256,"0.206699915233908, 0.20223231856503918, 0.20246991291198532, 0.20270722877337738, 0.206699915233908, 0.20048135644316564, 0.21258605863474267, 0.20778252601109196, 0.19790685018228565, 0.1978258569928154","1574.639954251911, 1540.6058028284683, 1542.4157965635043, 1544.223668795589, 1574.639954251911, 1527.2669733840357, 1619.4805946794695, 1582.8872831524986, 1507.654384688652, 1507.0373785712677"
