Hash Function,Variant,o_file_list,.text size,.rodata size,vector size,total ROM
SNEIK,256,"blnk.o, sneik_f512_c99.o, hash.o","6266, 6266, 6266, 6266, 6266, 6266, 6266, 6266, 6266, 6266","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","6266, 6266, 6266, 6266, 6266, 6266, 6266, 6266, 6266, 6266"
TRIAD,256,hash.o,"2160, 2160, 2160, 2160, 2160, 2160, 2160, 2160, 2160, 2160","4, 4, 4, 4, 4, 4, 4, 4, 4, 4","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2164, 2164, 2164, 2164, 2164, 2164, 2164, 2164, 2164, 2164"
CORAL,256,hash.o,"3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612, 3612"
GIMLI,256,gimli_hash.o,"1468, 1468, 1468, 1468, 1468, 1468, 1468, 1468, 1468, 1468","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1468, 1468, 1468, 1468, 1468, 1468, 1468, 1468, 1468, 1468"
DRYGASCON,128,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
DRYGASCON,256,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
CLX,256,hash.o,"630, 630, 630, 630, 630, 630, 630, 630, 630, 630","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","630, 630, 630, 630, 630, 630, 630, 630, 630, 630"
ACE,256,"ace.o, hash.o","1972, 1972, 1972, 1972, 1972, 1972, 1972, 1972, 1972, 1972","104, 104, 104, 104, 104, 104, 104, 104, 104, 104","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","2076, 2076, 2076, 2076, 2076, 2076, 2076, 2076, 2076, 2076"
SPARKLE,256,"hash.o, sparkle_ref.o","3958, 3958, 3958, 3958, 3958, 3958, 3958, 3958, 3958, 3958","32, 32, 32, 32, 32, 32, 32, 32, 32, 32","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","3990, 3990, 3990, 3990, 3990, 3990, 3990, 3990, 3990, 3990"
SUBTERRAINEAN,256,"subterranean_ref.o, crypto_hash.o","9834, 9834, 9834, 9834, 9834, 9834, 9834, 9834, 9834, 9834","644, 644, 644, 644, 644, 644, 644, 644, 644, 644","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","10478, 10478, 10478, 10478, 10478, 10478, 10478, 10478, 10478, 10478"
SATURNIN,256,"saturnin.o, hash.o","3732, 3732, 3732, 3732, 3732, 3732, 3732, 3732, 3732, 3732","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","3732, 3732, 3732, 3732, 3732, 3732, 3732, 3732, 3732, 3732"
ISAP,256,"hash.o, Ascon-reference.o","4032, 4032, 4032, 4032, 4032, 4032, 4032, 4032, 4032, 4032","8, 8, 8, 8, 8, 8, 8, 8, 8, 8","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","4040, 4040, 4040, 4040, 4040, 4040, 4040, 4040, 4040, 4040"
GAGE,256,"hash.o, constants.o","1200, 1200, 1200, 1200, 1200, 1200, 1200, 1200, 1200, 1200","271, 271, 271, 271, 271, 271, 271, 271, 271, 271","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471, 1471"
BLAKE3,256,"blake3_portable.o, blake3.o, blake3_dispatch.o","48040, 48040, 48040, 48040, 48040, 48040, 48040, 48040, 48040, 48040","32, 32, 32, 32, 32, 32, 32, 32, 32, 32","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","48072, 48072, 48072, 48072, 48072, 48072, 48072, 48072, 48072, 48072"
BLAKE2,256,blake2s-ref.o,"28672, 28672, 28672, 28672, 28672, 28672, 28672, 28672, 28672, 28672","32, 32, 32, 32, 32, 32, 32, 32, 32, 32","0, 0, 0, 0, 0, 0, 0, 0, 0, 0","28704, 28704, 28704, 28704, 28704, 28704, 28704, 28704, 28704, 28704"
